iter,k,mse_est,mse_true
343,21,3106.530056254465,3714.057333834824
344,121,3291.481000301414,3699.925265155483
345,61,3152.418754294481,3747.8685999291088
346,161,2963.6515734171644,3877.6454556062226
347,71,2271.7724704737666,3668.468682363286
348,51,3947.200265603145,3563.255693049347
349,81,3975.4618047098897,3616.7166814550174
350,41,3124.5669717653186,3635.692166780625
351,31,4161.443153686602,3939.7883563458836
352,161,4333.688549122323,3677.3199434916587
353,71,3387.4809005248426,3573.1792973657116
354,51,2609.807045152086,3703.105782754169
355,61,3457.9827985130432,3654.214175006611
356,11,2747.300280675424,3792.7649234553705
357,41,3317.393193636109,3640.37058616489
358,91,2769.3770209936,3604.1131129116625
359,61,3522.707301447169,3673.762015374146
360,191,3931.4433844646906,3596.314031389336
361,51,3099.7144500795393,3745.658919383064
362,41,3618.9823411258694,3579.441166104034
363,171,3480.2327147665337,3633.2272437249853
364,71,3719.158595630057,3694.981489412865
365,51,3768.8362610662416,3627.7499447892596
366,21,2794.5355213830335,3783.8926171149915
367,181,3255.1054532630687,3794.778397205257
368,101,3683.154830886489,3610.1638243292596
369,131,3047.0914608477715,3668.6796070946916
370,101,3912.234238196059,3755.77795545441
371,51,2514.210622655552,3664.7457882651865
372,61,3135.0321546431446,3564.680712894826
373,111,2979.6759199840744,3610.689545406876
374,191,3235.3461369294587,3644.5915719445156
375,51,3001.0465471846455,3885.838664484343
376,131,4226.948039219452,3955.3916125515702
377,101,3187.9747279448156,3891.5281455850854
378,41,3431.8682623940354,3606.105828279247
379,31,3792.056637577564,3565.433292192078
380,31,4051.615107878619,3699.940660724736
381,21,3934.4149693885133,3713.3286400043194
382,131,4010.149879527527,3745.12572488891
383,111,3081.8944579665967,3605.4084606579613
384,111,3427.2310250885293,3727.3357538548908
385,31,3577.0103316672726,3674.390379340293
386,51,3078.8731783041385,3727.138303319183
387,101,3700.006533888083,3611.9485983737823
388,31,3544.179286870136,3799.720031908683
389,191,3967.78188063856,3669.529194764996
390,31,3053.741538755117,3876.2066650235993
391,61,3359.386561958276,3682.5013860745426
392,41,3504.992719895853,3778.7141310526044
393,41,3482.8111728612257,3630.032635144475
394,71,2749.6416114248273,3662.455807295647
395,161,2926.873166819481,3666.9605265712794
396,41,3045.245418861391,3599.7888384595003
397,71,3853.496938757514,3794.1087905350955
398,81,4024.172282950983,3645.0870018706432
399,71,3739.4687244624165,3560.308555992629
400,51,2938.830340389252,3703.783684189487
401,101,3964.85201983259,3696.8206963047915
402,41,3664.144029213893,3597.70319887528
403,61,3747.1137568704485,3594.1869704375063
404,61,3383.559198900329,3771.087663895717
405,21,3704.1761081971517,3691.109790756483
406,81,3698.3923885436334,3624.0680038585524
407,191,3123.696462260133,3630.840287846472
408,151,4004.102244460151,3562.8200268958017
409,161,3545.2181098689434,4104.654561619013
410,21,3759.5166860941463,3732.202997487024
411,181,3958.1504352519974,4032.33604678527
412,31,3548.1060960403533,3572.2164810436575
413,181,3222.837358272408,3607.5107215691582
414,71,3469.211735613721,3689.2373054697737
415,21,3832.0911135493097,3616.913944306927
416,41,3086.8067726124996,3672.4204239034707
417,51,2963.7701766502405,3645.2455992352243
418,141,3411.2186097344966,3676.6615079316025
419,21,3247.7689565311184,3640.2769167204847
420,191,3769.8151614793833,3593.0437831501326
421,101,3150.5293278373438,3976.4973992701525
422,71,3627.138136919551,3734.384589246446
423,61,3209.8886123185143,3658.40538018196
424,191,3580.551202632319,3601.8394887795903
425,41,3293.3760658045558,3730.7782626424832
426,131,3751.3903761904176,3787.8184441742733
427,31,3155.5138971306833,3617.661460716383
428,51,3474.699564050445,3682.7370735466125
429,91,3146.7055532975655,3699.879371823564
