iter,k,mse_est,mse_true
240,181,3280.25709275038,3340.188447860105
241,181,3325.454013537296,3346.2187145722946
242,181,3383.3114749111164,3345.5960453705507
243,61,3185.423667922035,3426.1972971081814
244,131,3216.4653906068343,3355.6599748684716
245,191,3398.952635676022,3336.5499897296713
246,181,3254.833098205465,3339.7143431009436
247,181,3336.3796330624014,3336.0565508548493
248,191,3352.667572338317,3346.4018188397667
249,181,3250.797723260659,3346.1566912134676
250,181,3332.6270690304245,3343.4616188017976
251,121,3174.647374689126,3376.392260011659
252,191,3313.547063326884,3350.5226664691913
253,191,3259.098963069631,3349.469817530528
254,121,3227.6282770040416,3380.220962889692
255,161,3456.072319890599,3332.696387130065
256,171,3358.794440268807,3344.25816397027
257,191,3370.8416608032794,3354.143067046542
258,191,3468.8787094974446,3333.7862585541448
259,191,3289.543887450109,3340.192800744228
260,191,3295.2217724199377,3336.9461438713056
261,181,3314.9474174866828,3343.0607892542357
262,151,3357.749363440985,3341.4987337802722
263,181,3275.827078708683,3346.149613954752
264,181,3396.031937490479,3338.2289604206762
265,171,3269.5719505475627,3349.1168463188537
266,181,3400.723887962359,3336.5135987179506
267,191,3330.037309798983,3335.1148669481513
268,161,3298.4070300586377,3356.1182021033233
269,191,3342.880796552824,3347.729282772105
270,101,3309.3636502344266,3371.772959296922
271,191,3238.3033371640668,3347.3530581310006
272,131,3267.351639630919,3367.021445054735
273,191,3249.7417686074755,3343.50030819022
274,191,3298.9276494346095,3345.612676212046
275,131,3386.5099561978327,3348.3962664276573
276,101,3248.331828337118,3363.0472105551717
277,131,3329.2556334321416,3343.5838689032394
278,161,3305.98788831602,3353.065817368271
279,191,3286.4258788723705,3343.675780826035
280,191,3360.896143745454,3335.7795022298283
281,141,3410.3592653545334,3345.4422013195194
282,171,3366.1146528562813,3336.3881594353425
283,191,3374.573789842439,3336.5915376772077
284,121,3366.490159445304,3344.5560940055475
285,191,3270.8766984150584,3346.701153734089
286,191,3394.7910130245696,3341.4137545808017
287,151,3350.170843080684,3344.0990946674706
288,191,3296.9966482364825,3341.4493401222057
289,191,3239.109005692613,3347.3686081624733
290,151,3289.9361986463014,3340.891854800812
291,161,3302.2227923189994,3344.7165769077988
292,161,3314.09451225484,3343.7986757340373
293,191,3413.7317376502774,3337.3432004625083
294,161,3351.4715995179995,3348.9489910489197
295,191,3293.36252030762,3336.931362895964
296,191,3326.151329924727,3341.1948416472374
297,181,3402.0072694517257,3335.3108163563893
298,191,3207.169176040559,3347.5791069371785
299,191,3383.1692785915407,3332.490987009155
300,181,3340.902125616709,3350.3795303539046
301,171,3324.5756945262015,3353.7552557455574
302,141,3398.7659304598187,3340.682385115388
303,191,3331.7414448323025,3332.7326301806784
304,131,3314.8921226197604,3354.4162253982745
305,181,3398.5805289938835,3340.5763001746946
306,181,3165.5632448387582,3354.8006634210064
307,81,3301.6907252244673,3363.4752694093727
308,181,3290.2369953861275,3357.235104214395
309,191,3374.4817412211432,3341.3469576933317
310,111,3352.6285389935033,3351.5398293023254
311,191,3363.68775156336,3345.6346460311515
312,171,3302.431303777871,3355.066374080412
313,121,3441.1432998795726,3337.445434566938
314,151,3243.448900624951,3342.603711160255
315,191,3375.873609523728,3338.135171128794
316,181,3385.183743233137,3335.4234039648145
317,181,3341.373581557971,3343.711885992693
318,181,3372.4895586582725,3343.0697010454664
319,141,3325.9197878896953,3336.8921971984637
320,181,3268.252671742932,3348.59422804346
321,191,3324.2179542577983,3334.8805387048906
